year,month,hour,time_range,death,injuries,Longitude,Latitude,total_people
2004,January,NA,Night,NA,1,-79.538218382,43.7337424510001,1
2004,January,1,Night,NA,NA,5.6843418860808e-14,5.08888749034163e-14,0
2004,January,4,Night,NA,2,-79.399163136,43.656119297,2
2004,January,13,Afternoon,NA,1,-79.256038826,43.7328995840001,1
2004,January,19,Evening,NA,NA,-79.207412372,43.801801794,0
2004,January,19,Evening,NA,NA,-79.20651648,43.8083504940001,0
2004,January,8,Morning,1,NA,-79.233852025,43.781781696,1
2004,January,14,Afternoon,1,NA,-79.5072677429999,43.7174159460001,1
2004,January,18,Evening,NA,1,-79.220951675,43.8056433,1
2004,January,19,Evening,NA,1,-79.419618632,43.796316516,1
2004,January,10,Morning,NA,NA,-79.337558522,43.6862608010001,0
2004,January,23,Evening,NA,NA,-79.1970629699999,43.796507493,0
2004,January,NA,Night,NA,NA,-79.21059767,43.7974119940001,0
2004,January,1,Night,NA,1,-79.215779783,43.789524795,1
2004,January,1,Night,NA,1,-79.503789347,43.7028788550001,1
2004,January,20,Evening,NA,NA,-79.302426601,43.7972106070001,0
2004,January,14,Afternoon,NA,NA,-79.2514471659999,43.772110174,0
2004,January,NA,Night,1,NA,-79.204958114,43.8229965730001,1
2004,January,4,Night,1,NA,-79.434387326,43.670467021,1
2004,January,NA,Night,NA,NA,-79.2135407769999,43.806299397,0
2004,January,21,Evening,NA,NA,-79.4571023079999,43.7246693550001,0
2004,February,NA,Night,NA,NA,-79.272915121,43.7653382510001,0
2004,February,NA,Night,1,NA,-79.4392124949999,43.6953475700001,1
2004,February,11,Morning,NA,NA,-79.396825447,43.7070787070001,0
2004,February,19,Evening,NA,1,-79.288263593,43.7832893390001,1
2004,March,NA,Night,1,1,-79.1754254099999,43.768461803,2
2004,March,NA,Night,1,NA,-79.5072677429999,43.7174159460001,1
2004,March,1,Night,1,NA,-79.286725068,43.700100013,1
2004,March,1,Night,NA,1,-79.553826336,43.718064954,1
2004,March,21,Evening,NA,2,-79.232964846,43.779536701,2
2004,March,22,Evening,NA,NA,-79.513772443,43.719813146,0
2004,March,NA,Night,NA,NA,-79.2565177229999,43.7307652860001,0
2004,March,NA,Night,NA,NA,-79.31873487,43.759938822,0
2004,March,18,Evening,NA,1,-79.619648287,43.7303172360001,1
2004,March,18,Evening,NA,1,-79.514730516,43.7672126890001,1
2004,March,22,Evening,NA,1,-79.220352291,43.746551986,1
2004,March,NA,Night,NA,1,-79.447673885,43.6962545660001,1
2004,March,12,Afternoon,NA,1,-79.251279442,43.77961137,1
2004,March,NA,Night,NA,1,-79.2631055419999,43.75376257,1
2004,March,11,Morning,NA,NA,-79.22469995,43.757833599,0
2004,March,9,Morning,NA,NA,-79.232370679,43.745414081,0
2004,March,16,Afternoon,NA,NA,-79.514730516,43.7672126890001,0
2004,April,23,Evening,NA,1,-79.5174825719999,43.6926260810001,1
2004,April,20,Evening,NA,NA,-79.305151799,43.7971070050001,0
2004,April,20,Evening,NA,NA,-79.305151799,43.7971070050001,0
2004,April,1,Night,NA,1,-79.393832339,43.653814593,1
2004,April,22,Evening,NA,NA,-79.212423085,43.8120999220001,0
2004,April,20,Evening,1,NA,-79.550551371,43.725094923,1
2004,April,23,Evening,NA,NA,-79.427358224,43.638955883,0
2004,April,22,Evening,NA,1,-79.3117434979999,43.8027149220001,1
2004,April,NA,Night,NA,2,-79.510393218,43.749211679,2
2004,April,2,Night,NA,1,-79.3932779369999,43.6484030880001,1
2004,April,2,Night,NA,1,-79.4355918209999,43.649882598,1
2004,April,11,Morning,NA,NA,-79.514730516,43.7672126890001,0
2004,April,3,Night,NA,NA,-79.3871014429999,43.655007794,0
2004,April,12,Afternoon,NA,2,-79.481913215,43.6440840400001,2
2004,April,NA,Night,NA,1,-79.474241434,43.7555243560001,1
2004,April,21,Evening,NA,1,-79.196425207,43.7661562930001,1
2004,April,22,Evening,NA,NA,-79.194764304,43.7621233930001,0
2004,April,NA,Night,NA,NA,-79.503789347,43.7028788550001,0
2004,May,19,Evening,1,NA,-79.5792481729999,43.7352650770001,1
2004,May,21,Evening,NA,NA,-79.301468756,43.7024052,0
2004,May,NA,Night,1,NA,-79.328765835,43.6959378070001,1
2004,May,NA,Night,NA,NA,-79.5090378199999,43.756290885,0
2004,May,22,Evening,NA,NA,-79.400702934,43.6523520920001,0
2004,May,16,Afternoon,NA,NA,-79.51920491,43.752887582,0
