"","dates","event_type","neighbourhood","injuries","deaths"
"1",2019-09-22,"firearm_discharge","East York",0,0
"2",2022-09-21,"shooting_event","Downtown",3,0
"3",2023-12-16,"shooting_event","Scarborough",0,0
"4",2021-08-19,"firearm_discharge","Downtown",0,0
"5",2018-04-10,"shooting_event","Scarborough",2,0
"6",2022-05-21,"shooting_event","Etobicoke",0,0
"7",2018-04-09,"shooting_event","North York",3,0
"8",2018-08-05,"firearm_discharge","East York",0,0
"9",2018-12-22,"firearm_discharge","East York",0,0
"10",2019-05-14,"firearm_discharge","Downtown",0,0
"11",2023-12-01,"firearm_discharge","Downtown",0,0
"12",2023-07-27,"shooting_event","Etobicoke",1,0
"13",2020-08-03,"shooting_event","North York",0,0
"14",2022-03-27,"shooting_event","East York",1,0
"15",2023-07-23,"shooting_event","Downtown",2,0
"16",2023-01-27,"shooting_event","Scarborough",2,0
"17",2020-10-09,"firearm_discharge","East York",0,0
"18",2022-08-25,"shooting_event","Scarborough",0,0
"19",2018-04-15,"shooting_event","Scarborough",3,0
"20",2018-04-05,"firearm_discharge","Downtown",0,0
"21",2022-11-15,"firearm_discharge","Scarborough",0,0
"22",2023-05-02,"shooting_event","Downtown",2,0
"23",2018-07-14,"firearm_discharge","North York",0,0
"24",2019-07-19,"shooting_event","North York",0,0
"25",2018-10-30,"firearm_discharge","East York",0,0
"26",2019-04-29,"shooting_event","East York",0,0
"27",2018-12-04,"shooting_event","East York",0,0
"28",2018-08-03,"shooting_event","East York",0,0
"29",2018-05-23,"firearm_discharge","Downtown",0,0
"30",2022-04-28,"shooting_event","North York",2,0
"31",2023-03-08,"firearm_discharge","Scarborough",0,0
"32",2021-06-03,"firearm_discharge","North York",0,0
"33",2021-04-14,"firearm_discharge","Downtown",0,0
"34",2019-12-12,"shooting_event","Etobicoke",2,0
"35",2019-06-05,"firearm_discharge","Scarborough",0,0
"36",2019-03-19,"firearm_discharge","North York",0,0
"37",2021-06-25,"shooting_event","Downtown",3,0
"38",2020-02-19,"shooting_event","Scarborough",1,0
"39",2023-06-16,"firearm_discharge","Scarborough",0,0
"40",2019-02-22,"firearm_discharge","Scarborough",0,0
"41",2019-11-26,"firearm_discharge","Scarborough",0,0
"42",2018-07-14,"shooting_event","East York",0,0
"43",2018-06-08,"shooting_event","Scarborough",0,0
"44",2019-09-01,"shooting_event","North York",1,1
"45",2019-04-30,"shooting_event","Scarborough",1,0
"46",2020-02-18,"firearm_discharge","North York",0,0
"47",2022-04-06,"shooting_event","Etobicoke",0,0
"48",2021-02-09,"shooting_event","East York",0,0
