"id","EVENT_UNIQUE_ID","OCC_DATE","OCC_YEAR","OCC_MONTH","OCC_DOW","OCC_DOY","OCC_DAY","OCC_HOUR","OCC_TIME_RANGE","DIVISION","DEATH","INJURIES","HOOD_158","NEIGHBOURHOOD_158","HOOD_140","NEIGHBOURHOOD_140","geometry"
1,"EVT-000001",2010-10-12,"2010","October","Tuesday",285,12,12,"Morning","D11",0,4,29,"North York",97,"Downtown","c(-79.168123424896, 43.8263262380451)"
2,"EVT-000002",2010-11-15,"2010","November","Monday",319,15,13,"Afternoon","D13",0,2,55,"Scarborough",53,"East York","c(-79.4158623432396, 43.7972438984534)"
3,"EVT-000003",2022-11-01,"2022","November","Tuesday",305,1,0,"Night","D40",0,4,80,"East York",75,"Etobicoke","c(-79.5622174603421, 43.5890612615332)"
4,"EVT-000004",2005-06-25,"2005","June","Saturday",176,25,1,"Night","D40",0,2,145,"North York",78,"North York","c(-79.2749010666689, 43.7493576703217)"
5,"EVT-000005",2022-01-11,"2022","January","Tuesday",11,11,17,"Afternoon","D50",1,0,128,"Etobicoke",114,"Downtown","c(-79.5055718790375, 43.8435585898496)"
6,"EVT-000006",2006-05-04,"2006","May","Thursday",124,4,22,"Evening","D30",1,1,46,"North York",57,"Etobicoke","c(-79.35647068236, 43.7353586155228)"
7,"EVT-000007",2013-03-22,"2013","March","Friday",81,22,5,"Night","D23",0,5,91,"Etobicoke",83,"North York","c(-79.3777231065113, 43.6813355225971)"
8,"EVT-000008",2018-09-11,"2018","September","Tuesday",254,11,0,"Night","D14",0,3,42,"North York",54,"Scarborough","c(-79.1903394716542, 43.5935339518297)"
9,"EVT-000009",2004-12-16,"2004","December","Thursday",351,16,12,"Morning","D41",0,1,55,"North York",79,"Etobicoke","c(-79.5995961435324, 43.60413457764)"
10,"EVT-000010",2023-02-25,"2023","February","Saturday",56,25,17,"Afternoon","D09",0,2,127,"East York",85,"Downtown","c(-79.5505317596644, 43.7929176365228)"
11,"EVT-000011",2006-10-27,"2006","October","Friday",300,27,11,"Morning","D17",1,2,158,"Etobicoke",58,"Scarborough","c(-79.598964158296, 43.8350547793988)"
12,"EVT-000012",2014-06-22,"2014","June","Sunday",173,22,17,"Afternoon","D05",0,1,120,"Downtown",11,"East York","c(-79.2128922803288, 43.8152450440293)"
13,"EVT-000013",2016-10-11,"2016","October","Tuesday",285,11,18,"Afternoon","D16",0,3,5,"North York",109,"East York","c(-79.5745508884348, 43.8218481364371)"
14,"EVT-000014",2010-11-20,"2010","November","Saturday",324,20,5,"Night","D01",0,5,17,"Scarborough",120,"Scarborough","c(-79.3931951749217, 43.8346168517446)"
15,"EVT-000015",2008-09-18,"2008","September","Thursday",262,18,18,"Afternoon","D41",0,2,27,"Scarborough",77,"East York","c(-79.5810829009125, 43.8029847194465)"
16,"EVT-000016",2008-10-23,"2008","October","Thursday",297,23,6,"Night","D37",0,2,81,"North York",107,"Etobicoke","c(-79.3823863552889, 43.6710949377559)"
17,"EVT-000017",2004-12-25,"2004","December","Saturday",360,25,0,"Night","D10",0,2,95,"Scarborough",62,"Scarborough","c(-79.288299014193, 43.690173352585)"
18,"EVT-000018",2015-02-18,"2015","February","Wednesday",49,18,18,"Afternoon","D48",0,2,35,"Downtown",138,"Scarborough","c(-79.5864908908686, 43.7949311756717)"
19,"EVT-000019",2013-07-30,"2013","July","Tuesday",211,30,3,"Night","D16",0,3,71,"Etobicoke",4,"Scarborough","c(-79.3949473237015, 43.7513537362866)"
20,"EVT-000020",2017-07-27,"2017","July","Thursday",208,27,1,"Night","D42",0,1,60,"East York",66,"East York","c(-79.415713588859, 43.7754698083533)"
21,"EVT-000021",2017-01-23,"2017","January","Monday",23,23,1,"Night","D25",0,0,136,"Scarborough",91,"Scarborough","c(-79.1842234591337, 43.6542086487694)"
22,"EVT-000022",2023-11-26,"2023","November","Sunday",330,26,20,"Evening","D09",0,0,109,"East York",130,"East York","c(-79.6368044030979, 43.6292870426957)"
23,"EVT-000023",2024-01-21,"2024","January","Sunday",21,21,19,"Evening","D02",0,3,27,"Downtown",31,"Downtown","c(-79.1457079476522, 43.609409677593)"
